Model,Epoch,Validation Accuracy
LSTM,1.0,15.0
LSTM,2.0,23.33
LSTM,3.0,36.67
LSTM,4.0,21.67
LSTM,5.0,36.67
LSTM,6.0,43.33
LSTM,7.0,33.33
LSTM,8.0,50.0
LSTM,9.0,51.67
LSTM,10.0,43.33
LSTM,11.0,55.0
LSTM,12.0,53.33
LSTM,13.0,53.33
LSTM,14.0,55.0
LSTM,15.0,60.0
LSTM,16.0,60.0
LSTM,17.0,58.33
LSTM,18.0,58.33
LSTM,19.0,60.0
LSTM,20.0,61.67
LSTM,21.0,60.0
LSTM,22.0,61.67
LSTM,23.0,61.67
LSTM,24.0,60.0
LSTM,25.0,63.33
LSTM,26.0,61.67
LSTM,27.0,63.33
LSTM,28.0,58.33
LSTM,29.0,61.67
LSTM,30.0,60.0
LSTM,31.0,63.33
LSTM,32.0,61.67
LSTM,33.0,61.67
LSTM,34.0,63.33
LSTM,35.0,63.33
LSTM,36.0,63.33
LSTM,37.0,63.33
LSTM,38.0,63.33
LSTM,39.0,63.33
LSTM,40.0,63.33
LSTM,41.0,63.33
LSTM,42.0,63.33
LSTM,43.0,63.33
LSTM,44.0,63.33
LSTM,45.0,63.33
LSTM,46.0,63.33
LSTM,47.0,63.33
LSTM,48.0,63.33
LSTM,49.0,63.33
LSTM,50.0,60.0
LSTM,51.0,60.0
LSTM,52.0,60.0
LSTM,53.0,63.33
LSTM,54.0,60.0
LSTM,55.0,61.67
LSTM,56.0,61.67
LSTM,57.0,61.67
LSTM,58.0,61.67
Mamba,1.0,33.33
Mamba,2.0,51.67
Mamba,3.0,41.67
Mamba,4.0,60.0
Mamba,5.0,73.33
Mamba,6.0,71.67
Mamba,7.0,61.67
Mamba,8.0,58.33
Mamba,9.0,63.33
Mamba,10.0,61.67
Mamba,11.0,61.67
Mamba,12.0,76.67
Mamba,13.0,61.67
Mamba,14.0,61.67
Mamba,15.0,76.67
Mamba,16.0,63.33
Mamba,17.0,76.67
Mamba,18.0,61.67
Mamba,19.0,61.67
Mamba,20.0,76.67
Mamba,21.0,61.67
Mamba,22.0,78.33
Mamba,23.0,61.67
Mamba,24.0,61.67
Mamba,25.0,63.33
Mamba,26.0,63.33
Mamba,27.0,63.33
